15um_t1.png,15um_t10.png,15um_t99.6.png,laser15um_t1.png,laser15um_t10.png,laser15um_t99.6.png
0.010648627,0.017375687,0.10402549,0.010648627,0.013171373,0.035019215
0.010648627,0.017375687,0.09644236,0.010648627,0.013171373,0.035019215
0.010648627,0.017375687,0.0824149,0.010648627,0.013171373,0.035019215
0.010648627,0.017375687,0.07960941,0.010648627,0.013171373,0.035019215
0.010648627,0.017375687,0.0824149,0.010648627,0.013171373,0.03754196
0.010648627,0.017375687,0.09083137,0.010648627,0.011199215,0.036708627
0.010648627,0.017375687,0.09924785,0.010648627,0.011199215,0.034185883
0.010648627,0.017375687,0.12449726,0.010648627,0.013171373,0.034185883
0.010648627,0.017375687,0.112441964,0.010648627,0.013171373,0.034185883
0.010648627,0.01989843,0.088308625,0.010648627,0.013171373,0.035019215
0.010648627,0.01989843,0.0801749,0.010648627,0.013736864,0.035019215
0.010648627,0.01989843,0.09083137,0.010648627,0.011764706,0.03754196
0.010648627,0.01989843,0.09841452,0.010648627,0.011199215,0.035019215
0.010648627,0.01989843,0.10766432,0.010648627,0.011199215,0.035019215
0.010648627,0.017375687,0.1132753,0.010648627,0.011199215,0.035019215
0.010648627,0.017375687,0.09924785,0.010648627,0.011199215,0.035019215
0.010648627,0.01989843,0.09727569,0.010648627,0.011199215,0.035019215
0.010648627,0.01989843,0.09755843,0.010648627,0.011199215,0.034185883
0.010648627,0.01989843,0.10485882,0.010648627,0.011199215,0.034185883
0.010648627,0.025226668,0.12169176,0.010648627,0.011199215,0.034185883
0.010648627,0.01989843,0.12449726,0.010648627,0.011199215,0.034185883
0.010648627,0.01989843,0.11608078,0.010648627,0.011199215,0.035019215
0.010648627,0.025226668,0.10766432,0.010648627,0.011764706,0.03754196
0.010648627,0.025226668,0.11608078,0.010648627,0.011764706,0.03754196
0.010648627,0.01989843,0.13291372,0.010648627,0.011199215,0.03754196
0.010648627,0.017375687,0.12449726,0.010648627,0.011199215,0.03754196
0.010648627,0.01989843,0.11608078,0.010648627,0.011199215,0.03754196
0.010648627,0.025226668,0.11608078,0.010648627,0.011199215,0.034185883
0.010648627,0.01989843,0.122525096,0.010648627,0.011199215,0.034185883
0.010648627,0.01989843,0.13094157,0.010648627,0.011199215,0.034185883
0.010648627,0.01989843,0.13374707,0.010648627,0.011199215,0.034185883
0.010648627,0.01989843,0.14777452,0.010648627,0.011199215,0.03754196
0.010648627,0.01989843,0.14216353,0.010648627,0.011199215,0.03754196
0.010648627,0.01989843,0.10849765,0.010648627,0.013171373,0.035019215
0.010648627,0.017375687,0.09924785,0.010648627,0.013171373,0.035019215
0.010648627,0.017375687,0.10766432,0.010648627,0.013171373,0.03754196
0.010648627,0.017375687,0.09727569,0.010648627,0.013171373,0.035019215
0.010648627,0.01989843,0.082980394,0.010648627,0.011199215,0.035019215
0.010648627,0.01989843,0.09700785,0.010648627,0.011199215,0.03754196
0.010648627,0.017375687,0.11524745,0.010648627,0.011199215,0.03754196
0.010648627,0.017375687,0.12449726,0.010648627,0.011199215,0.03754196
0.010648627,0.01989843,0.1253306,0.010648627,0.013171373,0.035019215
0.010648627,0.017375687,0.13094157,0.010648627,0.010648627,0.035019215
0.010648627,0.017375687,0.116914116,0.010648627,0.010648627,0.035019215
0.010648627,0.017375687,0.10849765,0.010648627,0.013171373,0.03754196
0.010648627,0.017375687,0.12169176,0.010648627,0.011199215,0.035019215
0.010648627,0.017375687,0.11608078,0.010648627,0.011199215,0.035019215
0.010648627,0.017375687,0.09841452,0.010648627,0.011199215,0.035019215
0.013171373,0.017375687,0.09644236,0.010648627,0.011199215,0.03754196
0.010648627,0.017375687,0.09083137,0.010648627,0.011199215,0.03754196
0.010648627,0.011764706,0.0801749,0.013171373,0.011764706,0.035019215
0.010648627,0.017375687,0.082980394,0.013171373,0.011764706,0.035019215
0.010648627,0.017375687,0.10485882,0.010648627,0.011764706,0.035019215
0.010648627,0.017375687,0.09727569,0.010648627,0.013736864,0.03754196
0.010648627,0.01989843,0.088859215,0.010648627,0.013736864,0.042870194
0.010648627,0.01989843,0.09924785,0.010648627,0.013736864,0.03754196
0.010648627,0.017375687,0.09727569,0.010648627,0.013736864,0.03754196
0.010648627,0.017375687,0.0916647,0.010648627,0.011764706,0.03754196
0.010648627,0.017375687,0.09924785,0.010648627,0.011199215,0.03754196
0.010648627,0.017375687,0.09644236,0.010648627,0.011199215,0.03754196
0.010648627,0.017375687,0.0824149,0.010648627,0.011199215,0.03754196
0.010648627,0.017375687,0.08802588,0.010648627,0.013171373,0.03754196
0.010648627,0.017375687,0.0916647,0.010648627,0.013171373,0.03754196
0.010648627,0.017375687,0.10485882,0.010648627,0.013171373,0.03754196
0.010648627,0.01989843,0.10766432,0.010648627,0.013171373,0.03754196
0.010648627,0.01989843,0.11608078,0.010648627,0.013171373,0.03754196
0.013171373,0.01989843,0.10766432,0.010648627,0.010648627,0.03754196
0.010648627,0.01989843,0.09869726,0.010648627,0.010648627,0.03754196
0.010648627,0.01989843,0.10402549,0.010648627,0.013736864,0.037824705
0.010648627,0.01989843,0.11608078,0.010648627,0.013736864,0.037824705
0.010648627,0.01989843,0.13291372,0.010648627,0.013171373,0.03754196
0.010648627,0.01989843,0.1253306,0.010648627,0.011199215,0.03754196
0.010648627,0.01989843,0.13935804,0.010648627,0.011199215,0.03754196
0.010648627,0.01989843,0.15535764,0.010648627,0.011199215,0.042870194
0.013171373,0.01989843,0.15535764,0.010648627,0.011199215,0.043152936
0.013171373,0.01989843,0.13094157,0.010648627,0.011199215,0.043152936
0.010648627,0.025226668,0.12335843,0.010648627,0.011199215,0.043152936
0.010648627,0.025226668,0.12896942,0.010648627,0.011199215,0.037824705
0.010648627,0.025226668,0.13094157,0.010648627,0.011199215,0.037824705
0.010648627,0.01989843,0.13094157,0.010648627,0.011199215,0.037824705
0.010648627,0.01989843,0.13374707,0.010648627,0.011199215,0.042870194
0.010648627,0.025226668,0.15535764,0.010648627,0.011199215,0.042870194
0.010648627,0.025226668,0.15058,0.010648627,0.011199215,0.03754196
0.013171373,0.01989843,0.13374707,0.010648627,0.011199215,0.03754196
0.013171373,0.020463921,0.14580236,0.010648627,0.011199215,0.03754196
0.010648627,0.025792157,0.17863491,0.010648627,0.011199215,0.042870194
0.010648627,0.028032158,0.19152354,0.010648627,0.011199215,0.042870194
0.010648627,0.028032158,0.16627412,0.010648627,0.013171373,0.03754196
0.010648627,0.028032158,0.15338549,0.010648627,0.013171373,0.03754196
0.010648627,0.028032158,0.15619099,0.010648627,0.013171373,0.03754196
0.013171373,0.025226668,0.14860785,0.010648627,0.013171373,0.03754196
0.010648627,0.01989843,0.14746903,0.010648627,0.011199215,0.03754196
0.010648627,0.025226668,0.16627412,0.010648627,0.011199215,0.043152936
0.013171373,0.01989843,0.20191216,0.010648627,0.011199215,0.04595843
0.013171373,0.01989843,0.19713452,0.010648627,0.011199215,0.045675687
0.010648627,0.025226668,0.16627412,0.010648627,0.011199215,0.042870194
0.010648627,0.025792157,0.19994001,0.010648627,0.011199215,0.042870194
0.013171373,0.028597647,0.21313412,0.010648627,0.011199215,0.042870194
0.013171373,0.025792157,0.18030158,0.010648627,0.011199215,0.03754196
0.010648627,0.025792157,0.16149648,0.010648627,0.011199215,0.042870194
0.010648627,0.025792157,0.18113491,0.013171373,0.011199215,0.045675687
0.013171373,0.025792157,0.22238393,0.010648627,0.013171373,0.042870194
0.013171373,0.025226668,0.21116197,0.010648627,0.013171373,0.043152936
0.013171373,0.025226668,0.14830236,0.010648627,0.013171373,0.043152936
0.013171373,0.025226668,0.15588549,0.010648627,0.013171373,0.043152936
0.010648627,0.025226668,0.18955138,0.010648627,0.013171373,0.037824705
0.010648627,0.028597647,0.19516237,0.010648627,0.013171373,0.037824705
0.013171373,0.033925883,0.1931902,0.010648627,0.011199215,0.037824705
